phantom_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,cluster_size,members,why_phantom,old_label_int,new_label_int,label
PHT_00170,ABpraaaaa,95,96,3,9,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),3,9,0
PHT_00171,ABpraaapp,95,96,10,12,4,ABarapppp|ABpraaapp|ABpraapaa|ABprpaaaa,set(old_members)==set(new_members),10,12,0
PHT_00172,ABpraapaa,95,96,10,12,4,ABarapppp|ABpraaapp|ABpraapaa|ABprpaaaa,set(old_members)==set(new_members),10,12,0
PHT_00173,ABprpaaaa,95,96,10,12,4,ABarapppp|ABpraaapp|ABpraapaa|ABprpaaaa,set(old_members)==set(new_members),10,12,0
PHT_00174,ABarppaa,96,97,1,2,3,ABarppaa|ABplapap|ABprapaap,set(old_members)==set(new_members),1,2,0
PHT_00175,ABplapap,96,97,1,2,3,ABarppaa|ABplapap|ABprapaap,set(old_members)==set(new_members),1,2,0
PHT_00176,ABprappa,96,97,9,8,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),9,8,0
PHT_00177,MSapp,96,97,7,6,3,ABplpappa|MSapp|MSappaa,set(old_members)==set(new_members),7,6,0
PHT_00178,Cpaa,96,97,9,8,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),9,8,0
PHT_00179,Dp,96,97,10,9,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),10,9,0
PHT_00180,ABalaaaal,96,97,10,9,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),10,9,0
PHT_00181,ABalpaapa,96,97,10,9,3,ABalaaaal|ABalpaapa|Dp,set(old_members)==set(new_members),10,9,0
PHT_00182,ABplpappa,96,97,7,6,3,ABplpappa|MSapp|MSappaa,set(old_members)==set(new_members),7,6,0
PHT_00183,ABpraaaaa,96,97,9,8,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),9,8,0
PHT_00184,ABprapaap,96,97,1,2,3,ABarppaa|ABplapap|ABprapaap,set(old_members)==set(new_members),1,2,0
PHT_00185,MSappaa,96,97,7,6,3,ABplpappa|MSapp|MSappaa,set(old_members)==set(new_members),7,6,0
PHT_00186,ABplaaap,97,98,3,2,5,ABplaaap|ABplapaa|ABprapapa|ABprappap|ABprpppap,set(old_members)==set(new_members),3,2,0
PHT_00187,ABplapaa,97,98,3,2,5,ABplaaap|ABplapaa|ABprapapa|ABprappap|ABprpppap,set(old_members)==set(new_members),3,2,0
PHT_00188,ABprappa,97,98,8,14,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),8,14,0
PHT_00189,ABprpaaa,97,98,4,5,3,ABarpappa|ABprpaaa|MSpppaa,set(old_members)==set(new_members),4,5,0
PHT_00190,ABprpppa,97,98,5,7,4,ABalaaapp|ABalaapaa|ABprpppa|Cppa,set(old_members)==set(new_members),5,7,0
PHT_00191,Eprp,97,98,7,13,3,ABaraappa|ABarapaap|Eprp,set(old_members)==set(new_members),7,13,0
PHT_00192,Cpaa,97,98,8,14,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),8,14,0
PHT_00193,Cppa,97,98,5,7,4,ABalaaapp|ABalaapaa|ABprpppa|Cppa,set(old_members)==set(new_members),5,7,0
PHT_00194,ABalaaapp,97,98,5,7,4,ABalaaapp|ABalaapaa|ABprpppa|Cppa,set(old_members)==set(new_members),5,7,0
PHT_00195,ABalaapaa,97,98,5,7,4,ABalaaapp|ABalaapaa|ABprpppa|Cppa,set(old_members)==set(new_members),5,7,0
PHT_00196,ABalpaaap,97,98,10,16,3,ABalpaaap|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),10,16,0
PHT_00197,ABalppppp,97,98,14,18,3,ABalppppp|ABplpaaap|ABplpaapa,set(old_members)==set(new_members),14,18,0
PHT_00198,ABaraapaa,97,98,10,16,3,ABalpaaap|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),10,16,0
PHT_00199,ABaraappa,97,98,7,13,3,ABaraappa|ABarapaap|Eprp,set(old_members)==set(new_members),7,13,0
PHT_00200,ABarapaap,97,98,7,13,3,ABaraappa|ABarapaap|Eprp,set(old_members)==set(new_members),7,13,0
PHT_00201,ABarpappa,97,98,4,5,3,ABarpappa|ABprpaaa|MSpppaa,set(old_members)==set(new_members),4,5,0
PHT_00202,ABplapapa,97,98,13,17,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),13,17,0
PHT_00203,ABplappap,97,98,13,17,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),13,17,0
PHT_00204,ABplpaaap,97,98,14,18,3,ABalppppp|ABplpaaap|ABplpaapa,set(old_members)==set(new_members),14,18,0
PHT_00205,ABplpaapa,97,98,14,18,3,ABalppppp|ABplpaaap|ABplpaapa,set(old_members)==set(new_members),14,18,0
PHT_00206,ABplpppap,97,98,13,17,3,ABplapapa|ABplappap|ABplpppap,set(old_members)==set(new_members),13,17,0
PHT_00207,ABpraaaaa,97,98,8,14,3,ABpraaaaa|ABprappa|Cpaa,set(old_members)==set(new_members),8,14,0
PHT_00208,ABprapapa,97,98,3,2,5,ABplaaap|ABplapaa|ABprapapa|ABprappap|ABprpppap,set(old_members)==set(new_members),3,2,0
PHT_00209,ABprappap,97,98,3,2,5,ABplaaap|ABplapaa|ABprapapa|ABprappap|ABprpppap,set(old_members)==set(new_members),3,2,0
PHT_00210,ABprpppap,97,98,3,2,5,ABplaaap|ABplapaa|ABprapapa|ABprappap|ABprpppap,set(old_members)==set(new_members),3,2,0
PHT_00211,MSaaaaa,97,98,10,16,3,ABalpaaap|ABaraapaa|MSaaaaa,set(old_members)==set(new_members),10,16,0
PHT_00212,MSpppaa,97,98,4,5,3,ABarpappa|ABprpaaa|MSpppaa,set(old_members)==set(new_members),4,5,0
PHT_00213,ABprpaaa,98,99,5,18,3,ABarpappa|ABprpaaa|MSpppaa,set(old_members)==set(new_members),5,18,0
