event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
ANS_04148,ABarapaapa,121,122,19,20,6,10,ABarapaapa|ABarpaaapa|ABprpappp|MSaaaapp|MSaaapap|MSpppp,ABalpaaaap|ABaraapapa|ABarapaapa|ABarpaaapa|ABprpappp|Capaap|MSaaaapp|MSaaapa|MSaaapap|MSpppp,1
ANS_04149,ABarapaapp,121,122,12,41,9,5,ABalppapp|ABaraapppa|ABarapaapp|ABarapappa|ABplaaapp|ABplappp|Epra|MSpaaapp|MSpapaaa,ABalppapp|ABaraapppa|ABarapaaap|ABarapaapp|ABplaaapa,1
ANS_04150,ABarapappa,121,122,12,42,9,3,ABalppapp|ABaraapppa|ABarapaapp|ABarapappa|ABplaaapp|ABplappp|Epra|MSpaaapp|MSpapaaa,ABarapappa|ABplaaapp|MSpapaaa,1
ANS_04151,ABarapappp,121,122,59,30,3,6,ABarapappp|Earp|MSpapaap,ABarapappp|ABarpaapap|ABprpaapp|Earp|Earpa|MSpapaap,1
ANS_04152,ABarappaaa,121,122,58,31,4,6,ABaraapppp|ABarappaaa|ABarpapapp|Earaa,ABaraapppp|ABarappaaa|ABarpapapp|ABprppaa|Epra|MSapapa,1
ANS_04153,ABarappapp,121,122,9,11,5,7,ABarappapp|ABarppap|ABprpapaaa|ABprpapaap|MSpppap,ABarappapp|ABarppap|ABplapapp|ABplppaap|ABpraappa|ABprpapaap|MSpppap,1
ANS_04154,ABarpaaaaa,121,122,20,22,23,8,ABalapppaa|ABalapppap|ABalppaap|ABalppapa|ABalpppaa|ABaraaaaap|ABaraaappa|ABaraaappp|ABaraappaa|ABarpaaaaa|ABarpaaaap|ABprppap|ABprpppa|Caapp|Cppppp|Eprp|Eprpa|Eprpp|MSapaaa|MSpaaaaa|MSpaaaap|MSpaaapa|MSpaapaa,ABalapppaa|ABalppaaa|ABalppaap|ABalpppaa|ABarpaaaaa|ABprpppap|Cppppp|MSpaaaaa,1
ANS_04155,ABarpaaapa,121,122,19,20,6,10,ABarapaapa|ABarpaaapa|ABprpappp|MSaaaapp|MSaaapap|MSpppp,ABalpaaaap|ABaraapapa|ABarapaapa|ABarpaaapa|ABprpappp|Capaap|MSaaaapp|MSaaapa|MSaaapap|MSpppp,1
ANS_04156,ABarpapapp,121,122,58,31,4,6,ABaraapppp|ABarappaaa|ABarpapapp|Earaa,ABaraapppp|ABarappaaa|ABarpapapp|ABprppaa|Epra|MSapapa,1
ANS_04157,ABarpapppp,121,122,46,53,5,4,ABarpapppp|ABplppapp|ABprpapapa|Dpaa|MSppppp,ABarpapppp|ABplppapa|Dpaa|MSppppp,1
