adult_neuron,wormbase_raw_lineage,sulston_lineage,description,normalization_applied
SABD,AB plppapaap,ABplppapaap,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",spaces_removed
SABVL,AB plppapaaaa,ABplppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",spaces_removed
SABVR,AB prppapaaaa,ABprppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1",spaces_removed
SDQL,QL.pap,QL.pap,"Post. lateral interneuron, process projects into ring",none
SDQR,QR.pap,QR.pap,"Ant. lateral interneuron, process projects into ring",none
SIADL,AB plpapaapa,ABplpapaapa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIADR,AB prpapaapa,ABprpapaapa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIAVL,AB plpapappa,ABplpapappa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIAVR,AB prpapappa,ABprpapappa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIBDL,AB plppaaaaa,ABplppaaaaa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIBDR,AB prppaaaaa,ABprppaaaaa,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIBVL,AB plpapaapp,ABplpapaapp,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SIBVR,AB prpapaapp,ABprpapaapp,"Receives a few synapses in the ring, has a posteriorly directed process that runs sublaterally",spaces_removed
SMBDL,AB alpapapapp,ABalpapapapp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMBDR,AB arappapapp,ABarappapapp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMBVL,AB alpapappp,ABalpapappp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMBVR,AB arappappp,ABarappappp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMDDL,AB plpapaaaa,ABplpapaaaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMDDR,AB prpapaaaa,ABprpapaaaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMDVL,AB alppappaa,ABalppappaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
SMDVR,AB arappppaa,ABarappppaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally",spaces_removed
URADL,AB plaaaaaaa,ABplaaaaaaa,Ring motor neuron,spaces_removed
URADR,AB arpapaaaa,ABarpapaaaa,Ring motor neuron,spaces_removed
URAVL,AB plpaaapaa,ABplpaaapaa,Ring motor neuron,spaces_removed
URAVR,AB prpaaapaa,ABprpaaapaa,Ring motor neuron,spaces_removed
URBL,AB plaapaapa,ABplaapaapa,"Neuron, presynaptic in ring, ending in head",spaces_removed
URBR,AB praapaapa,ABpraapaapa,"Neuron, presynaptic in ring, ending in head",spaces_removed
URXL,AB plaaaaappp,ABplaaaaappp,Ring interneuron,spaces_removed
URXR,AB arpapaappp,ABarpapaappp,Ring interneuron,spaces_removed
URYDL,AB alapapapp,ABalapapapp,"Neuron, presynaptic in ring, ending in head",spaces_removed
URYDR,AB alapppapp,ABalapppapp,"Neuron, presynaptic in ring, ending in head",spaces_removed
URYVL,AB plpaaappp,ABplpaaappp,"Neuron, presynaptic in ring, ending in head",spaces_removed
URYVR,AB prpaaappp,ABprpaaappp,"Neuron, presynaptic in ring, ending in head",spaces_removed
VA1,W.pa,W.pa,"Vent. cord motor neuron, innervates vent. body muscles",none
VA10,P10.aaaa,P10aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA11,P11.aaaa,P11aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA12,P12.aaaa,P12aaaa,"Vent. cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion",dots_removed
VA2,P2.aaaa,P2aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA3,P3.aaaa,P3aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA4,P4.aaaa,P4aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA5,P5.aaaa,P5aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA6,P6.aaaa,P6aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA7,P7.aaaa,P7aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA8,P8.aaaa,P8aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VA9,P9.aaaa,P9aaaa,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB1,P1.aaap,P1aaap,"Vent. cord motor neuron, innervates vent. body muscles, also interneuron in ring",dots_removed
VB10,P9.aaap,P9aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB11,P10.aaap,P10aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB2,W.aap,W.aap,"Vent. cord motor neuron, innervates vent. body muscles",none
VB3,P2.aaap,P2aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB4,P3.aaap,P3aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB5,P4.aaap,P4aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB6,P5.aaap,P5aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB7,P6.aaap,P6aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB8,P7.aaap,P7aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VB9,P8.aaap,P8aaap,"Vent. cord motor neuron, innervates vent. body muscles",dots_removed
VC1,P3.aap,P3aap,Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles,dots_removed
VC2,P4.aap,P4aap,Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles,dots_removed
VC3,P5.aap,P5aap,Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles,dots_removed
VC4,P6.aap,P6aap,Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles,dots_removed
VC5,P7.aap,P7aap,Hermaphrodite specific vent cord motor neuron innervates vulval muscles and vent body muscles,dots_removed
VD1,W.pp,W.pp,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",none
VD10,P9.app,P9app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD11,P10.app,P10app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD12,P11.app,P11app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD13,P12.app,P12app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD2,P1.app,P1app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD3,P2.app,P2app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD4,P3.app,P3app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD5,P4.app,P4app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD6,P5.app,P5app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD7,P6.app,P6app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD8,P7.app,P7app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
VD9,P8.app,P8app,"Vent cord motor neuron, innervates vent body muscles, probably reciprocal inhibitor",dots_removed
