adult_neuron,input_wormbase_raw,after_step1_spaces_removed,after_step2_dots_removed,after_step3_suffix_stripped,output_sulston_final,rules_applied
SIBDL,AB plppaaaaa,ABplppaaaaa,ABplppaaaaa,ABplppaaaaa,ABplppaaaaa,spaces_removed
SIBDR,AB prppaaaaa,ABprppaaaaa,ABprppaaaaa,ABprppaaaaa,ABprppaaaaa,spaces_removed
SIBVL,AB plpapaapp,ABplpapaapp,ABplpapaapp,ABplpapaapp,ABplpapaapp,spaces_removed
SIBVR,AB prpapaapp,ABprpapaapp,ABprpapaapp,ABprpapaapp,ABprpapaapp,spaces_removed
SMBDL,AB alpapapapp,ABalpapapapp,ABalpapapapp,ABalpapapapp,ABalpapapapp,spaces_removed
SMBDR,AB arappapapp,ABarappapapp,ABarappapapp,ABarappapapp,ABarappapapp,spaces_removed
SMBVL,AB alpapappp,ABalpapappp,ABalpapappp,ABalpapappp,ABalpapappp,spaces_removed
SMBVR,AB arappappp,ABarappappp,ABarappappp,ABarappappp,ABarappappp,spaces_removed
SMDDL,AB plpapaaaa,ABplpapaaaa,ABplpapaaaa,ABplpapaaaa,ABplpapaaaa,spaces_removed
SMDDR,AB prpapaaaa,ABprpapaaaa,ABprpapaaaa,ABprpapaaaa,ABprpapaaaa,spaces_removed
SMDVL,AB alppappaa,ABalppappaa,ABalppappaa,ABalppappaa,ABalppappaa,spaces_removed
SMDVR,AB arappppaa,ABarappppaa,ABarappppaa,ABarappppaa,ABarappppaa,spaces_removed
URADL,AB plaaaaaaa,ABplaaaaaaa,ABplaaaaaaa,ABplaaaaaaa,ABplaaaaaaa,spaces_removed
URADR,AB arpapaaaa,ABarpapaaaa,ABarpapaaaa,ABarpapaaaa,ABarpapaaaa,spaces_removed
URAVL,AB plpaaapaa,ABplpaaapaa,ABplpaaapaa,ABplpaaapaa,ABplpaaapaa,spaces_removed
URAVR,AB prpaaapaa,ABprpaaapaa,ABprpaaapaa,ABprpaaapaa,ABprpaaapaa,spaces_removed
URBL,AB plaapaapa,ABplaapaapa,ABplaapaapa,ABplaapaapa,ABplaapaapa,spaces_removed
